rxn,P0.05,P0.11,P0.16,P0.22,P0.30,C0.05,C0.11,C0.16,C0.22,C0.30,N0.05,N0.11,N0.16,N0.22,N0.30,L0.05,L0.11,L0.16,L0.22,L0.30,U0.05,U0.11,U0.16,U0.22,U0.30
AASAD1,-0.112415087429406,-0.173146709778078,0.00880204231867362,0.28859211357609904,0.544750336365027,0.17945854953791,0.122403037773224,0.21277024729658398,0.382179698399552,0.541816243351101,-0.272575304571977,0.0274217884348994,-0.0333316301559775,0.195691262159228,0.5677849418351241,1.36808935535202,0.9731485117182851,0.9612396039830621,0.9623455948322329,0.759154850869539,-0.0470178055791332,0.814306921119004,1.03302031056882,0.824463272807619,0.0270676129002942
ACGKm,-0.287645096593971,-0.238595881243603,0.16906825338263898,0.508445558608886,0.994978119776818,0.6082595718053629,0.6870115093334879,0.26077789943256696,0.0413952027907525,0.253777532111834,0.872618256121648,1.07682795626682,0.980509606850764,0.903888529213285,1.07937751220241,2.49940147672655,2.09343966892819,1.8035223118209198,1.49390505873,0.808293817503644,0.695396890259286,0.989188817166692,1.00112073654149,0.990550213896365,0.434926625021666
ACHBSm,0.013710822022501751,-0.138344080889732,-0.12996778923908614,0.04278198904811725,0.08354915227963655,-0.16416594924167704,-0.1075189401850146,-0.23579468539574866,-0.19443447614654397,-0.3040600454430315,-0.5965677940331441,-0.593230404619875,-0.5469618993290349,-0.4723515882342565,-0.295503320416711,1.7552732174000851,1.3474355054486735,1.1264524877807836,0.6783511398765871,-0.06945334354149665,-0.482591846834454,0.0188323738488045,0.08921966397408446,-0.1530008084820331,-0.392571863538265
ACLSm,0.013710822022501751,-0.138344080889732,-0.12996778923908614,0.04278198904811725,0.08354915227963655,-0.16416594924167704,-0.1075189401850146,-0.23579468539574866,-0.19443447614654397,-0.3040600454430315,-0.5965677940331441,-0.593230404619875,-0.5469618993290349,-0.4723515882342565,-0.295503320416711,1.7552732174000851,1.3474355054486735,1.1264524877807836,0.6783511398765871,-0.06945334354149665,-0.482591846834454,0.0188323738488045,0.08921966397408446,-0.1530008084820331,-0.392571863538265
ACOAH,-0.18362270296359698,-0.591606588838974,-0.9836651324293472,-1.56430654537114,-2.14676568309803,0.865263805494826,0.29013514292688397,1.2812234094845902,1.5343686258165903,0.526759943303834,-0.5811418664070289,-1.2103275040838999,-1.19585839123344,-1.6493617720538702,-1.93373327043767,-1.24486205187905,-2.19447489353123,-1.89271684201405,-2.04410704467927,-1.9260046327418203,-0.5868969303983199,-0.156818072552516,-1.35495304854651,-1.28371952506859,-1.5232160430514499
ACONT,-0.0214605319997793,-0.0223767270461125,-0.398331475825516,-0.602386138989859,-0.0295741052836943,0.341540717221791,0.357035607318336,0.63515184961416,0.38760352717786295,0.0401231551096874,-0.419966379196999,-0.309949653436647,-0.410648287880054,-0.591458421545679,-0.180401624770244,-1.2177719502671398,-0.561342460603225,-0.9535412922793721,-0.547993892112989,0.25984461135089004,-0.28411607974871805,0.0193648881194916,0.44266455485937395,0.156594906565444,0.0135316264156981
ACONTm,-0.033113811615893746,0.08849920897635825,-0.022631135679843484,-0.04112170950944455,0.33787456728085435,-0.10087042700996046,0.2126623809545832,0.3770053121882129,0.18224472553538454,0.2289283254408702,-0.394562776073828,-0.18933226175982806,-0.21230046269476588,-0.15992101552320198,0.15653208388454798,-0.498374389390188,-0.014052878839669491,-0.3911876555275415,-0.1193401066000345,0.389543104396249,-0.12651606267597598,0.2605103096942763,0.629871477180801,0.388296967653494,0.2785857623232725
ACOTAim,-0.132581034616172,0.0060453600829574105,0.551598232054599,0.46458982403489796,1.3525273033268899,0.8551087031390121,0.7003205432219369,0.5739657317077621,-0.0376510943771409,0.00599466732010848,0.7549522315630841,0.7411155061944441,0.793359436106167,0.5488980823220689,1.23405243203155,2.54287639550284,1.94930327800548,2.13300831453905,1.5353689238234198,1.1722276513664398,0.7288521956197779,1.2226874425121101,1.28791709000622,0.999639865567815,0.49613615065065003
ACS,0.142396328507849,0.310034014638149,0.373202292476406,0.352509139429869,0.438409570179601,-0.49706061440931393,-0.177340842677492,0.203771498904126,0.27420993957287504,0.35361934437577797,0.19846416537791897,0.699996211623252,0.8392093809340601,0.597608721368826,0.518206678039193,0.657753141640627,0.778855237284628,0.814045892335697,0.716211079068337,0.775241399241095,-0.26409739214979605,0.4207845690548859,0.634422449591666,0.41469093396444606,0.882049458031428
ACSm,-0.141964896245603,0.0786102125384785,0.0691236758078393,-0.446552177780471,0.0265575241725042,3.74597301127988,3.23629758530573,2.53887978684151,0.504359958062225,0.31906886226389597,-0.15956561609789,0.341030315730119,0.47673527303726504,0.42082561944271707,0.0145120234783708,0.489992295613844,0.38711903578267404,0.605733829757004,0.6596002070694829,0.283160584253615,-0.17801303278598998,0.215822915003597,0.34076793111500503,0.2233174113059,0.5270595794641649
