id,Conversion_to_Absolute,P0.05,P0.11,P0.16,P0.22,P0.30,C0.05,C0.11,C0.16,C0.22,C0.30,N0.05,N0.11,N0.16,N0.22,N0.30,L0.05,L0.11,L0.16,L0.22,L0.30,U0.05,U0.11,U0.16,U0.22,U0.30
leu__L_c,0.0017887564386325602,0.0331843677160972,-0.047661315864595995,-0.027096334146841,0.32868893005022803,0.26712823712256,-1.79238224170769,-2.2774555850050096,-2.39364705029273,-1.4766888973440302,-1.63086080331872,-1.89352943608597,-2.64098691890639,-1.96335525015748,-0.5533963406683989,-0.19151234748704002,0.25607765228268103,0.863735132136247,1.40868078562159,1.5213468378181698,1.3619381378722701,-0.8029399760538499,-0.844660786555796,-1.00345163780276,-0.806707425644539,-0.582872109945538
lys__L_c,0.000133961624165816,0.0224634343736304,-0.16638189820523902,-0.4878432595026261,-0.8809096288999381,-1.63438785389238,-2.5004425962398504,-2.77369715954585,-2.64865128625961,-2.39311552552516,-2.01274157870745,-4.09474292886292,-3.2347350884829,-3.0208596815328503,-1.8242820015182,-1.7238322360754,1.21433314947196,1.09834943019073,1.0035199837912099,0.541667708029564,-0.432161312725443,-1.11228230684456,-1.57186352530203,-1.47579619171323,-1.5180542026712298,-1.6198086556076399
mal__L_c,0.00376498963301021,0.129968257271971,0.23663965766179,0.259777237956216,0.26276190924578496,0.190917736850804,-0.0834092459098113,-0.20190439739142,-0.33281667177324,-0.0441278385836135,-1.0051205823070402,1.54526379599814,0.2831208053671189,0.8460001776799481,0.726645175398296,0.48637873320117,0.264312036686691,0.0539458163283509,-0.4212537963844629,-0.661995517457513,-0.593451858430976,-0.40363846319139707,-0.5720402758267359,-0.7074816067232959,-0.7479516564235009,-0.735865259659944
met__L_c,0.000287630200706247,0.0712517350785893,0.17322065863627098,0.0874753107979843,0.206796190994537,0.0262742348928282,-2.8492072498653704,-3.15306212940596,-3.1291559266044,-2.23040350677346,-2.0722088072854,-2.7802029742725,-3.54350699750933,-2.5309539802547003,-0.8823971090209549,-0.4806664083622679,-1.029445053358,-0.6253938544175061,-0.19787851121968203,-0.0854496410666627,-0.28153344541419295,-1.6710841428780099,-1.49318098513224,-1.70351833624477,-1.32216933120348,-0.97298465917963
nadh_c,1.11472114325731e-05,-0.0675114182613459,0.47153110117082203,0.9494277320200041,2.2045986625472502,2.64323867543508,-1.50281423754877,-1.2901570113101102,-1.10366832166603,-0.42256326003345707,0.826673685511194,0.8866605231498341,1.16574705162168,1.2673015882816898,2.23112883333069,2.3882637887233398,2.21652420871024,3.0172723834764703,3.36766439845163,3.56332500125512,3.7577139942676,0.801944551324511,0.961795474234162,1.26180588638169,1.65707607223469,1.8598921180205301
nadh_m,1.11472114325731e-05,-0.0675114182613459,0.47153110117082203,0.9494277320200041,2.2045986625472502,2.64323867543508,-1.50281423754877,-1.2901570113101102,-1.10366832166603,-0.42256326003345707,0.826673685511194,0.8866605231498341,1.16574705162168,1.2673015882816898,2.23112883333069,2.3882637887233398,2.21652420871024,3.0172723834764703,3.36766439845163,3.56332500125512,3.7577139942676,0.801944551324511,0.961795474234162,1.26180588638169,1.65707607223469,1.8598921180205301
nadp_c,2.42648001812638e-07,-0.0863704945602956,0.9217429073721999,1.24531776748441,1.56232162970502,1.44782002430167,2.15287156417827,2.40266268167137,2.59034754517556,2.43854400932868,2.31576912097669,1.01759303835856,1.43416949119185,1.62453927406418,1.7223631150542,1.5272448296036003,2.0428543162118102,1.91222572025927,1.80544871357976,1.7691867959637901,1.61838583974987,0.868107003123792,0.812439277403257,1.25962910920431,1.3578172588709598,1.35103015919875
nadp_m,2.42648001812638e-07,-0.0863704945602956,0.9217429073721999,1.24531776748441,1.56232162970502,1.44782002430167,2.15287156417827,2.40266268167137,2.59034754517556,2.43854400932868,2.31576912097669,1.01759303835856,1.43416949119185,1.62453927406418,1.7223631150542,1.5272448296036003,2.0428543162118102,1.91222572025927,1.80544871357976,1.7691867959637901,1.61838583974987,0.868107003123792,0.812439277403257,1.25962910920431,1.3578172588709598,1.35103015919875
nad_c,0.000306328471031703,-0.0416129657307819,0.244031720546292,0.357947266902837,0.466637477509709,0.425725898651902,1.93523982859464,1.84012544955051,1.8318744628182302,1.76868232244376,1.39834508126017,0.824336279760805,0.7619848747153058,0.9562625608179909,1.05429473767361,1.06945790951658,1.3815230355088601,1.3882351485354298,1.4152673404213798,1.39765156196424,1.28753860854132,0.876920073352523,0.7861646151699001,0.973687847905185,0.9791110594630259,0.9766124119055051
nad_m,0.000306328471031703,-0.0416129657307819,0.244031720546292,0.357947266902837,0.466637477509709,0.425725898651902,1.93523982859464,1.84012544955051,1.8318744628182302,1.76868232244376,1.39834508126017,0.824336279760805,0.7619848747153058,0.9562625608179909,1.05429473767361,1.06945790951658,1.3815230355088601,1.3882351485354298,1.4152673404213798,1.39765156196424,1.28753860854132,0.876920073352523,0.7861646151699001,0.973687847905185,0.9791110594630259,0.9766124119055051
orn_c,0.0005961613650020981,-0.136784335598372,0.5243688427380321,0.468069323928359,0.41921654818067894,-0.28428315603357,-1.373438212365,-1.08784417399028,-0.562856980451053,-0.728791763264616,0.89994303117791,-3.9358466431756605,-1.5826718809447802,-1.590072253273,-0.263180470648263,-0.148769302007204,2.5898548137482202,2.45642229606712,2.40357017495761,2.06018941608143,0.982434447264255,0.28619077337449106,0.0621060569581724,0.679199277990535,0.8569839358269659,0.7451005767413109
orn_m,0.0005961613650020981,-0.136784335598372,0.5243688427380321,0.468069323928359,0.41921654818067894,-0.28428315603357,-1.373438212365,-1.08784417399028,-0.562856980451053,-0.728791763264616,0.89994303117791,-3.9358466431756605,-1.5826718809447802,-1.590072253273,-0.263180470648263,-0.148769302007204,2.5898548137482202,2.45642229606712,2.40357017495761,2.06018941608143,0.982434447264255,0.28619077337449106,0.0621060569581724,0.679199277990535,0.8569839358269659,0.7451005767413109
pep_c,,-0.0777380578232428,0.514019703336302,0.8698921504203171,1.25436047064879,1.6802406246369197,5.522300059161281,5.88354903702048,5.97013661158631,5.13771114503159,5.0027497535471905,5.28218612286358,5.52265190934026,5.26234543879547,4.2967279316336695,4.0764744672388,2.7567001856626,2.52111087436707,2.3073577151826603,2.32164729977914,2.6078975289648,1.00223745440649,1.1194855138128799,1.74479270600349,2.05985679892941,2.34220981114179
