,C0.05,C0.11,C0.16,C0.22,C0.30,L0.05,L0.11,L0.16,L0.22,L0.30,N0.05,N0.11,N0.16,N0.22,N0.30,P0.05,P0.11,P0.16,P0.22,P0.30,U0.05,U0.11,U0.16,U0.22,U0.30
EX_leu__L_c,0.011300366739608313,0.027275026955014627,0.038490388470097024,0.05328692900224137,0.07513348701886371,0.008847481813820005,0.021030275536841687,0.03301031216533398,0.04999617213991783,0.07114950767101859,0.010272403109850128,0.02483405799173375,0.034787915417602434,0.05299165398471471,0.05641467058317087,0.011536548010897728,0.024763169460843858,0.036248908847653784,0.05624658492371204,0.08221731034908172,0.00993059928701152,0.021703200340770945,0.03018429921396213,0.04985665723902623,0.05978749532685716
EX_gly_c,0.01374738546375838,0.031908261898962106,0.0455750560592121,0.06479958520065762,0.10006287248154076,0.01266875180888463,0.028165735204381436,0.041227334291491405,0.061295618438966325,0.08309628900326367,0.011942012923754144,0.028234910546591656,0.04373750149502178,0.07628011238162394,0.10149466312088082,0.014153192563862757,0.029983326343021505,0.042534683018077966,0.06589721564221393,0.0937991972614558,0.011412596556611324,0.02491302629059812,0.036959679635918063,0.05980321976989725,0.07923849669165434
EX_asp__L_c,0.014527250773696347,0.03471814255174722,0.05015406883817426,0.07309927300100427,0.12707699962912525,0.019430021437687663,0.0428113838819319,0.0576178197415038,0.08600039016690862,0.118350127805639,0.016517991183740137,0.040156015810389495,0.06422241657225143,0.11169231881011464,0.15351641719980258,0.019942580377402118,0.04332871875377788,0.06196806602802048,0.1064569221754938,0.15089613153391526,0.017206050677754728,0.037274503782065975,0.06057072821715876,0.08997203977463332,0.12518946464978
EX_succ_e,0.0004355968717413792,0.0009945342420557986,0.0048127363758350035,0.019279146913499527,0.04478285251665918,0.3343075217549704,0.13654992044375305,0.1760256598225078,0.1348752643435712,0.1154831282233591,0.011834018624552049,0.056956999290678864,0.07179637032236078,0.06220760831589876,0.1291791249185707,0.011451427963524332,0.02722552458201734,0.035196607150745136,0.05791723743135915,0.07853543409750721,0.09434540748722152,0.1095114345559072,0.15435507790142558,0.06947990742540516,0.13975516051225084
EX_glu__L_c,0.05301308251781593,0.10670804726387406,0.148485350828386,0.198719040758573,0.2440052119578973,0.026346366615997176,0.048987916449014776,0.0668032839790592,0.09843671938566692,0.12865001180217536,0.024052661280908057,0.05276128180355945,0.08752965104698263,0.13211693239264186,0.17981655473058955,0.03249762562393477,0.06721688260201229,0.08844277075682941,0.12258813094832105,0.15865447305794333,0.018221299250432428,0.03783395423878274,0.060765173362117814,0.08745971080057635,0.12376179988120095
EX_mannan_c,0.02556410737044696,0.048915144299392685,0.08085813726903393,0.11486099386468672,0.16282844671387273,0.031227129114841563,0.06703312378811871,0.0993009935319316,0.1386184970520369,0.17740598953652462,0.015035864563164676,0.05556779364891249,0.07734096919329743,0.12721603336998075,0.1311371704406967,0.03576962896271678,0.07416591409779426,0.10229595924929832,0.13358624997051485,0.16943309915908028,0.04443507213098452,0.08942017839540374,0.1194945059143076,0.15130093769082792,0.1783024656247243
EX_ala__L_c,0.02433772488202961,0.05274682362185346,0.07379257656652367,0.1124769774091093,0.15384417533503014,0.06580655872038553,0.14232130606844495,0.16751013167393036,0.21680005078766795,0.23966783431407235,0.020801791031601482,0.04729378824998085,0.07469401712721738,0.13439705917242806,0.1743441288308989,0.03135788059348106,0.06291965061663296,0.08752558052406559,0.1407191121569799,0.18151081163375465,0.04436375881030034,0.07559381714791598,0.12286697316375192,0.15094864002379146,0.1858303344072519
EX_acald_c,0.0072948862780475125,0.01679577666814266,0.02312080938823786,0.07967946872531173,0.3282408618859993,0.03389268319002641,0.04306357004423517,0.0396245767006306,0.06487727879777262,0.10005507745127036,0.09807113798885334,0.18396242278833388,0.2733573424517369,0.22971262729170944,0.2979309872554185,0.06669076059362304,0.15074614983220413,0.14647272450301654,0.19614886616928465,0.12622069561026902,0.19984402645497548,0.0377959551151594,0.1386588245871699,0.13858038866637631,0.2408617500224409
EX_13BDglcn_c,0.03590809387793446,0.0687076442021917,0.11357570760353992,0.16133711577874316,0.2287136048160696,0.043862540066248366,0.09415668879162913,0.13948108362425551,0.19470760051324626,0.2491896483798095,0.02111981570278412,0.0780521503067035,0.10863539032126976,0.17869136609512845,0.1841991100583022,0.05024306838332837,0.10417561495008894,0.14368790018084407,0.18763915888914487,0.2379906930631571,0.0624148036319364,0.1256022013158859,0.1678454824997604,0.21252172804994607,0.2504488649473172
EX_ac_e,0.0016891424286477456,0.003109846507565696,0.005163136582077787,0.4423887017857252,0.8853613976074151,0.08470055656181312,0.1364382345535453,0.16141858946737894,0.18881413090469,0.34330903812959823,0.10233561000031767,0.4218836314159597,0.5183784066142959,0.41308110747805227,0.5686933212765773,0.4674025340815518,0.6610592813450441,0.8329014674584257,0.779816274829514,0.35652614551872064,0.3610586670041777,0.22274702353457426,0.3839718304880183,0.3715571707112905,0.8390840172294549
EX_atp_c,0.9306270710747216,1.0200232897722206,0.9478456480148814,0.9084016293287104,0.8787555610304874,0.8139640419123804,0.8299666071696111,0.8650545745931908,0.8956854152953553,0.9219915737151004,0.8777195960381764,0.9527169599667744,0.9323670666214486,0.9216431412585568,0.8261062552532702,0.902299868701504,0.9218822458544708,0.9254313251581668,0.9285023035207192,0.9584903490743579,0.9096039810065254,0.9542803252644624,0.8617462333704599,0.9622128313607302,0.9237673673084916
EX_etoh_e,0.012703289780016868,0.05316350448977352,0.10864235955387144,4.597214264278993,14.070775511629915,9.23695859935284,11.307178541245966,17.458000553428427,21.206497091850014,22.43203512466188,5.451095680576168,16.270466367489142,26.130314845355755,22.353131735521078,103.72837055786158,7.940532356190381,10.372486830383812,11.388370345607605,18.869404006750766,31.408219768900164,9.419917164028847,13.555220513311813,23.431238902278015,24.945271755171234,41.553258441043
EX_pi_e,0.9291622448892499,1.0159593780975953,0.9415215097698394,0.8988179943366921,0.8636857020470482,0.8126186684904221,0.8263657277822517,0.8589608230816993,0.8856881548802897,0.9064091824483788,0.8765398910815742,0.949296166625895,0.9270912961464358,0.9125743602276402,0.8161287057941593,0.9009380475924376,0.9184673410605928,0.9199074144129958,0.9189103533143348,0.9427771687113448,0.9084362007149498,0.9512491863830498,0.8569894570895481,0.9532441603989767,0.9123146321263572
